time,Unnamed: 0,Tair_[°C],sol_[W/m2],vap_[mbar],cloud_[-],U10_[m/s],Temp_[C],Adir,H_sw,H_lw_in,H_lw_out,H_le,H_c,H_net_atm
2024-06-26 05:00:00,4253,18.818241337812537,46.33952758706501,18.069962266842268,0.9675221202872402,1.1963348751643463,19.869693756103516,0.073,43.1819973662293,421.33574018385735,-406.8453126964893,-37.827645313089334,-5.210225799149332,14.63455374135864
2024-06-26 06:00:00,4254,19.36629605821417,160.1048810911202,18.065524352610986,0.1256243178105757,2.5208381068465253,19.812496185302734,0.073,144.4592314006429,367.0982557810259,-406.52784848445657,-49.49355194146034,-2.9377817969367146,52.59830495881514
2024-06-26 07:00:00,4255,20.017759199971124,323.06535550203535,18.37864606565867,0.2382303887381782,2.306353901795166,19.84269905090332,0.073,292.2441307899014,373.74913009895954,-406.69546057204195,-43.9905257373935,1.0830149185451716,216.39028949797066
2024-06-26 08:00:00,4256,19.61271794388477,488.6088978701764,18.230334211074435,0.00015211614685,0.7569974022289334,19.96202850341797,0.073,439.74927170941635,367.7835215110166,-407.35819141437855,-32.24479156968217,-1.483576245510594,366.44623399086163
2024-06-26 09:00:00,4257,19.755092624634983,635.7142015999395,19.172173223581822,0.0,1.7456540968335215,20.11748504638672,0.073,572.1427814399456,371.1347981285097,-408.2227790839468,-36.138534462257695,-2.011033127460071,496.9052328947907
2024-06-26 10:00:00,4258,19.6826072860996,755.8133313474947,19.220030082405952,0.0,0.9071857001342487,20.29071617126465,0.073,680.2319982127452,370.9128625801548,-409.187842441247,-30.644439137635793,-2.7320590637019126,608.5805201503152
2024-06-26 11:00:00,4259,21.021201742952485,834.0895560339607,17.838273828464075,0.1308086413137306,0.3920649857652592,20.517377853393555,0.073,752.6652062954267,374.5777100027817,-410.4531481245731,-33.942876800993126,1.81819512439121,684.6650864970335
2024-06-26 12:00:00,4260,22.742839091441,842.8913899477762,18.140721011623462,0.2855185328283819,0.20797963669273573,20.78590965270996,0.073,763.3748180517914,388.2154167911098,-411.9559826810413,-29.58768140117971,6.059898994932318,716.1064697556126
2024-06-26 13:00:00,4261,22.28676830129808,796.23104613072,18.24441399331218,0.0252713128083777,0.5858069279242741,21.00065040588379,0.073,716.9543897840913,380.98959804654953,-413.1607429533519,-36.766049535122455,4.781860224151632,652.799055566318
2024-06-26 14:00:00,4262,24.345019492582992,751.8593178019162,17.989935588726482,0.0058794174900137,1.2404543794020897,21.22219467163086,0.073,676.7487559995003,390.50177558246895,-414.40644038605706,-45.69076501060624,13.232118043466299,620.3854442287721
2024-06-26 15:00:00,4263,22.81822796282921,625.9212760068416,18.33457690415389,1.0,1.619959721636325,21.432764053344727,0.073,584.61047179039,449.1251277034009,-415.59303730847597,-54.415296267070964,7.00925090777563,570.7365168260196
2024-06-26 16:00:00,4264,23.66953694908875,300.4289292693085,18.68159277799688,1.0,3.1301881182780305,21.552043914794922,0.073,280.60061993753413,455.3448017650606,-416.2663306554968,-72.63720224284907,14.628628114731569,261.67051691898047
2024-06-26 17:00:00,4265,25.833065480232847,219.32601011291555,19.46599736069254,1.0,0.10691713145232996,21.799884796142578,0.073,204.85049344546312,471.0358534222775,-417.6679218523471,-25.578082283988266,10.396647491050606,243.03699022245584
2024-06-26 18:00:00,4266,25.9641121138485,138.32989431992607,19.434812401238304,1.0,1.8305634343597306,21.91939353942871,0.073,129.20012129481094,471.72436846811183,-418.34503180553696,-49.65885820549834,19.58300802537008,152.50360777725757
2024-06-26 19:00:00,4267,25.0476776396996,44.45601984836398,19.66352179703537,1.0,2.001853292745969,21.829050064086914,0.073,41.52192253837195,466.95569271469066,-417.83308989708036,-50.61138482313008,16.802488246853994,56.835628779706155
